id,tweet
[1377409335580450816],"manfaat dari vaksinasi covid-19 yaitu menurunkan angka penyebaran dan kematian akibat virus corona, dan juga jika s… https://t.co/8ijfgdcitq"
[1377402340483899396],dinkes kepri: vaksinasi belum tentu bisa hentikan penyebaran covid-19 https://t.co/lok9cxrggc
[1377401498041131008],ini kenapa habis vaksin meriang sama pusing sekali:(
[1377401462863503363],para personel polsek kauditan di vaksinasi covid-19 https://t.co/ko6swvwdqw
[1377401458744692737],"kebut vaksinasi, bio farma tambah fasilitas produksi vaksin covid-19 https://t.co/an9zeilnzh"
[1377401457184403457],5 persiapan sebelum vaksin covid-19 agar tak batal disuntik https://t.co/px2jdccvfa
[1377401400611643392],"@watchmenid plis banget bioskop duluuu, masih lama kan tayangnya, insya allah udah vaksin semua manusia 😩"
[1377401291165425668],2 hari pasca vaksin: ngelu ga mari-mari
[1377401228800368640],"pagi min @kai121 semoga sehat selalu, ijin bertanya, apakah sertifikat vaksin sdh bisa digunakan untuk syarat perja… https://t.co/gb1jm9kywj"
[1377392893283823618],sekolah tatap muka kl vaksin blm rata di tingkat anak didik dan ga punya ventilasi udara kelas..bs jadi ajang muncu… https://t.co/a54uuzlnqg
[1377381449901334528],"contoh gak kritis? vaksin semua diambil, pajak semua dibayar, ngerokok, minuman keras disikat, habib rizieq dibela,… https://t.co/spsfsmqtd2"
[1377381121176993793],"pasti #sahabatpengayoman @bhp_semarang

apa kata teman-teman di upt tentang program vaksinasi covid-19 ini… https://t.co/8etau94fey"
[1377380874384072705],"kabar baik, dlm waktu dekat who akan mengeluarkan rekomendasinya soal vaksin sinovac dan sinopharm.  sejauh ini bel… https://t.co/jytpgtc4kt"
[1377379943055720453],"kipi jatuh akibat astrazeneca, satgas sulut “suspend” vaksinasi covid https://t.co/hhwjbltivn https://t.co/demj35glp2"
[1377379682002239489],petugas barisan hadapan di wilayah sempadan thailand akan diberi vaksin https://t.co/vx4bvz3fjk
[1377379477001400321],"alhamdulillah vaksin awal sudah dilewati, thank you all https://t.co/msoj1cstmf"
[1377379212458303490],"pasti #sahabatpengayoman @bhp_semarang

jangan unggah sertifikat vaksinasi covid-19 kamu di media sosial yaa… https://t.co/fgyrnkurvw"
[1377378866109407235],"dari target 4 juta warga divaksin hingga akhir maret untuk program tahap pertama, nyatanya baru 15 persen yang disu… https://t.co/q2uohjjkyr"
[1377378179275399171],@pokonyakirana @sosmedkeras di suntik vaksin covid 19
[1377358487659761669],"@collegemenfess udah 2 kali divaksin. vaksin pertama pusing dikit bawaannya. vaksin kedua laper mulu bawaannya:""("
[1377358233589870592],@collegemenfess pliss caranya gimana sih vaksin nii pingin bgt
[1377357890680356868],[cm] kalian udah pada di vaksin belum? takut hari ini mau di vaksin takut suntikan 😭😭😭
[1377357533011058689],"#sahabatbahari, vaksinasi massal untuk pelaku umkm akan dimulai pada 1 april 2021. pelaku umkm menjadi prioritas va… https://t.co/zpv4daf22j"
[1377357125010137090],wta mendesak petenis segera vaksinasi covid-19 https://t.co/uqwrtp9o0d
[1377355807029821441],vaksin terbaik covid adalah gigs gigsan👍
[1377355598094721025],"disuruh vaksin pagi, tapi jam segini baru pulang kerja... siap2 gw jadi hulk dah!"
[1377355014872559616],"kampus perguruan tinggi di as jadi pusat vaksinasi covid-19.
via @voaindonesia 
https://t.co/qdptw37lz9 https://t.co/w4ahqd61u7"
[1377354699548991489],goro goro iki aku dadi wani vaksin https://t.co/ax6fiqau91
[1377334410194776065],@tanyainrl udah bangun karena demam effect vaksin jd gak bisa tidur
[1377334024432066561],riset medis: orang yang divaksin flu bisa kebal covid-19 https://t.co/pn2ru1u7jt
[1377333277028098050],khawatir bgt ngeliat pacar abis vaksin malah demam tinggi pdahal dia susah bgt sakit🙂
[1377332052891115520],"meski sudah divaksin, kita tetap harus menjaga kesehatan, dan mematuhi protokol kesehatan yang berlaku ya."
[1377332049409830915],penting untuk mengetahui kita memenuhi syarat boleh suntik vaksin atau tidak.
[1377332046003986433],"sedikit tips: tidur yang cukup, makan sebelum suntik vaksin, dan usahakan tidak melakukan kegiatan berat setelah suntik vaksin."
[1377320815914405890],@aquayers expresinya kok kek lemes gt d vaksin 🤣
[1377320507461136388],baru kerasa vaksin pegel kaya orang2. alhamdulillah aq normal u.u
[1377319783461453829],menhan prabowo subianto mampu meningkatkan kesediaan masyarakat untuk ikut melaksanakan vaksinasi covid-19. begini… https://t.co/kus2gemsgd
[1377319202382512131],@yandrikputera efek vaksin nih
