id,tweet
[1307465010394722304],komite penanganan covid-19 dan pen siapkan protokol pelaksanaan vaksinasi https://t.co/3inm6djdsd https://t.co/s50o9xlqin
[1307440636954509312],"@dr_koko28 dok apakah vaksin influenza, bisa di gunakan utk preventif corona virus.artinya mencegah flu ,menjauhi f… https://t.co/b3dd45oomx"
[1307426740361404417],pandu riono minta pemerintah tak pakai narasi vaksin solusi ajaib atasi covid-19 #temponasional https://t.co/me5s9xfbrf
[1307411847276933121],"2 minggu sudah berjalan berapa hari ?. gebrakannya vaksin dr uea, tapi syekh ali jabber di tusuk.....who blm menyat… https://t.co/cdmg67zqlw"
[1307410491740831744],"ada pikiran buruk, bagaimana ya bila obat atau vaksin covid itu baru ditemukan ketika orang-orang sehat tinggal 100… https://t.co/za1yp31gia"
[1307401136828231681],cerita satu keluarga jadi relawan vaksin covid-19 sinovac di bandung https://t.co/91aik9sbcs
[1307386702789357568],@memefess mending ni klub jd relawan tes vaksin covid
[1307369484533940226],"#tundapilkadaserentak, sampai vaksin #covid19 tersedia dan siap diedarkan di #indonesia. https://t.co/0zmcb1hmnk"
[1307364149643673602],komite penanganan covid-19 dan pen siapkan protokol pelaksanaan vaksinasi https://t.co/ycxtbytew1
[1307354368128114688],vaksin kita saat ini adalah protokol kesehatan
[1307347856378847233],"@khairykj syabas mosti ""to take the lead"" dengan mewakili negara dalam usaha mendapatkan vaksin untuk covid-19 😀💊 https://t.co/lpmqahgko7"
[1307337311084920832],"@regar_oposisi @mia_andyy bapak presiden yang terhormat @jokowi  , kenapa harus sibuk cari vaksin ?? bukankah denga… https://t.co/zjsukfyu6p"
