id,tweet
[1304557361143541762],"relawan yang disuntik vaksin buatan china terpapar covid-19
klik untuk baca: https://t.co/kiiikljjfu

download apli… https://t.co/2tdctwxbmv"
[1304550182932021248],".... dan relawan vaksin pun bertumbangan positif covid. 

...."
[1304476724978044929],"vaksin ini kalah sama jamu😌
https://t.co/a3fqg5xxle"
[1304469507738488833],"@subtanyarl corona kelar, vaksin bisa diproduksi buat semua org di dunia dgn harga terjangkau dan buat yg ga mampu di biayain pemerintah"
[1304469423202250752],@subtanyarl corona vaksinnya di produksi mssal
[1304457298547482625],"""jadi, kurang lebih insyaallah pada akhir tahun ini terdapat 30 juta vaksin dan pada 2021 terdapat 300 juta vaksin,… https://t.co/lmjyzi8amy"
