id,tweet
[1392267980583555075],"teman kuliah akrab sampe sekarang (dia asal jakarta) pendukung trump hard-core banget anti masker, anti vaksin. 
eh… https://t.co/rnslaj7jma"
[1392267749938794497],"@msaid_didu wooi didu..., ini apaan? hoax mulu lo, ngga takut sumpah ahok, biar udah di vaksin masih bisa... https://t.co/9osss2m6hy"
[1392267371239202822],@timpalbali di luar negeri vaksin astrazeneca ini udah dilarang untuk digunakan umur 40 kebawah ada juga 50 ke bawa… https://t.co/mn5nb3qdbo
[1392267350854959108],@lady_amygdala sama lah. save cuti buat rehat masa lepas vaksin nanti. https://t.co/mvovpsfptd
[1392267281724416002],@firzahusain tul sekali...provokatornya pas antri vaksin paling depan smntra yg jd tumbal blm prnh vaksin apalagi v… https://t.co/jzbihmswbu
[1392266959325077507],"@shabanao better antigen dulu sebelum vaksin, banyak kejadian ternyata pas vaksin emang lagi positif"
[1392261476560216067],@thearieair bukannya vaksin gratis kak?
[1392259744216207363],"@sisiennsin pagi.., asli selesai vaksin 🤣"
[1392259558970646530],tribunus bali -  dandim barabai dan kapolres hst tinjau langsung vaksinasi di posko ppkm labuan https://t.co/x1ggqogmwk
[1392254566201102336],"penat lah nak lawan covid, nak lawan anti vaksin lagi 😭"
[1392254191234543616],tapi aku selalu pake masker sewaktu keluar rumah dan sudah divaksin 👌🏻
[1392254130509414404],@asumsico viralkan perusahaan2 yg motong gaji karyawannya untuk vaksin gotong royong.
[1392254076901986308],"who sebut covid-19 jenis b.1.6.17 hancurkan antibodi vaksin, cepat menular hingga bikin hancur india

https://t.co/wvf1bxe1hu"
[1392253915681366020],"ada yg menganggarkan satu suntikan vaksin 500ribu (vaksin dan biaya penyuntikan)
maka utk 1 orang 2 suntikan itu sa… https://t.co/7cwy8pstix"
[1392253900548235268],"rindu itu virus, ketemu vaksin nya.

- billboard"
[1392253889714343937],deg degan vaksin keduaa 😭😭😭😭😭😭😭😭😭
[1392253535325151233],"satgas penanganan covid-19 meminta masyarakat tidak menolak program vaksinasi covid-19 dari pemerintah. sebab, mela… https://t.co/wwu09fbxdr"
[1392253519860695047],sudahi foto2nya.. ayo budal vaksin https://t.co/vhgvn9rx9w
[1392253351925059587],"pemerintah tetap gunakan vaksin astrazeneca sembari tunggu hasil investigasi https://t.co/8i0ryvlzui

cari berita l… https://t.co/22lgwwf0hs"
[1392253322321567745],@bn4evertn5o @kkmputrajaya makanan² tu dah disuntik vaksin 2 dos alhamdulillah
[1392253253912469508],"sebanyak 290,480 bebuli (vial) vaksin covid-19 sinovac yang dibotolkan oleh pharmaniaga lifescience sdn bhd akan di… https://t.co/iirhbqsqwh"
[1392253187999125507],"mahalnya harga vaksin gotong royong, perusahaan harus menyediakan rp 1 juta rupiah untuk satu karyawan

https://t.co/v8qvftwdtw"
[1392248329606557697],"situasi program vaksin semalam : 

- 120 temujanji diberi
- 32 tidak hadir atas pelbagai alasan

rasanya kena wujud… https://t.co/hafkavuaqt"
[1392248233720643588],"#kkprebound 
11/05/21 semangat selasa
#sahabatbahari
vaksinasi covid 19 bersama tim dari barantan di vip bandara ka… https://t.co/skwele0e29"
[1392248197859340291],@beenabee59 mungkin  vaksin bagian dari rencana global mereka
[1392247380037095425],"alhamdulillah kasus kematian pasca vaksinasi astra zeneca dpt perhatian dr pak anies, pemprov dki
saran beliau, men… https://t.co/qglui3afnk"
[1392247279529177093],"lepas vaksin jangan tidur 48jam tau! waktu kita tidur tu, dia reboot otak kita! 😭😭 masha allah https://t.co/ztdltldkvn"
[1392246921587167233],"@akmlhkim82 @ybsadik @501awani bkn mslh tau handle or dh vaksin.. mslhnya undang2, klau x patuh ttp slh.. then lps… https://t.co/d5rcycjwla"
[1392246904042360833],"@gdubukki bioskop sun tutup, kmarin, sekitar bulan lalu kan di jadiin vaksin lansia di sana, tapi gatau skrg, belum… https://t.co/l5h9pvw9bx"
[1392246871133806594],"daaamn, vaksin efek demam tinggi pusing, lemes, pegel, ga napsu makan, mual.
berasa ni imun badan sama vaksin lagi… https://t.co/bb7wunwmwm"
[1392246776313171968],"@mirazh_me @donadam68 cek antigen sudah
cek swab pcr sudah
vaksin 2x sudah... malah nungguin yg ke3 kalo ada
eh.. l… https://t.co/jqbddfw7an"
[1392246266579456002],"@notaslimboy yha om...
ini udah tahap 3 lah...
awal awal tahap 3 dipicu vaksin berbayar...
selanjutnya negara2 maju… https://t.co/3w75y2gkhi"
[1392241508812656641],@less_ice_ya mungkin mereka berpikir udah swab dan vaksin kali mahh
[1392241270152568833],"@dghisham salam @dghisham , pati sex maniac ini pun dapat free vaksin kan? pfizer ke??

kangkung oxford @khairykj k… https://t.co/ttcso1raqt"
[1392241194613104640],@501awani klu kes naik jgk vaksin bukan jalan penyelesaiannya.
[1392240702629859328],seorang wanita di italia mengalami overdosis vaksin corona. perawat yang menyuntik salah ambil 1 vial penuh yang se… https://t.co/ecqingjthg
[1392240635235561473],"@imran_khalik alhamdulillah, makasih ombro. sudah vaksin juga kah? salam sehat ya, sudah lama banget gak kontak 🙏✨😁"
[1392240500569120770],@detikcom tergantung imunitas tubuh juga si kalo gitu. kalo di daerahku habis vaksin yg ke 2 biasa aja tuh. trus ra… https://t.co/6kggohabfr
[1392236748290232321],"@esalfiena21 serem yg ada habis vaksin polio tetiba nge tweet; ""jatah bubur kacang ijonya ngakebagian. padahal dah disuntik"""
[1392236140099375105],"beberapa orang yg kena covid-19 ternyata sudah divaksin.

vaksin ga mempan terhadap variant yg dari india (b1617)"
[1392236018883981315],"random bgt pikiran pengen order photocard custom
pengen cetak foto sama sertifikat vaksin 😭😂"
[1392232773910372354],"jadwal vaksin kedua pas banget puasa terakhir gini yak.
males banget otewenya ke istora 😪"
[1392232684521365508],@zoo_fess saran drh ku boleh nder. tapi cuma 1 minggu habis vaksin aja. dosisnya 0.5 ml 1x1
[1392232244194938883],@txtbytika ekwkkw ben wulan suntik vaksin
[1392231759887015939],masih ada lagi org yg nak buat sarcasm pasal dah amik vaksin tp still tak boleh balik kampung.. weh.. perangai buda… https://t.co/iwpuambzzb
[1392228107302572032],"agustus suntik vaksin 
akhir oktober aku ya suntik tt 
wkwkwkw semoga aja aku kuat aminnn"
[1392228077992775685],"“vaksin tu jadi ko joh?”

prevention is better than cure. gittewww"
[1392227461803372546],"suamiku habis vaksin, demam, 3-4 hari kemudian hasil pcr positif. jadi bingung 😐 https://t.co/wmii24x3xm"
[1392221752223174657],@mamasojol jadwal vaksin ke 2.. dadakan bgt 🥲
[1392221333124046850],@nikensays w jugaa. mudik dulu kali ya biar dapet giliran vaksin lebih cepet? 🤪 https://t.co/7l87sgzp1q
[1392221293689245696],"@timothaychlmay 😭😭😭 makasiihh kakakk
kakak uda dapet giliran vaksin kah?"
[1392220938985349123],"@nitasellya judul vaksin gratis pas dibaca tes covid gratis. ini yg mana yg bener, tempooooooo"
[1392220517671780352],vaksin covid-19 pfizer kini bisa digunakan untuk anak https://t.co/dwmfkk03i2
[1392220514685526019],vaksin covid-19 pfizer kini bisa digunakan untuk anak https://t.co/h8ubvagjam
[1392213007762030592],@om_ul wuih...bruh ulung sdh di vaksin...sehat selalu bruh
[1392213002179387392],pastikan vaksin cepat kpd semua yg telah daftar. terlalu ramai menunggu sekian lama. tangkap &amp; sumbat dlm penjara k… https://t.co/solwrb4fp6
[1392213000564527105],@hausofhilton salam sejahtera. bagaimana untuk memohon permohonan bayaran bantuan khas kewangan kesan mudarat vaksin covid-19?
[1392212530660007937],"walau sudah divaksin, protokol kesehatan tetap jadi kunci untuk menghentikan pandemi
#vaksinpulihkannegeri https://t.co/w3u0ypixbx"
[1392204888755425281],"@jokowi dengan gerakan wajib donor kepada pasien sembuh, bisa selamatkan berapa banyak nyawa itu pakdhe. daripada trial and die di vaksin."
[1392204244149628929],'mahukan vaksin covid-19?  ada visa as? '  orang latin mengembara ke utara untuk mengambil gambar -… https://t.co/dbp9u6ykgl
[1392204079783464967],perkembangan data kasus dan vaksinasi covid-19 di jakarta per 11 mei 2021 https://t.co/z1hwrliswk
[1392204051882913795],perkembangan data kasus dan vaksinasi covid-19 di jakarta per 11 mei 2021 https://t.co/9ww4sppmd4
[1392197057843109888],"@gkampang @vaksin_vuritust @tentaitris @hunter_dhab @kulhugeni8 @mustafakamaln13 waaahh untung ngak makan bipang ,kwkwkkwkw"
[1392196747116437504],"@thatsnomoon @aleuyzulqornaen @suzukabunny @narasinewsroom yang bisa mencegah vaksin ya 5m itu tadi, karena vaksin… https://t.co/z4c31hlcwd"
[1392196549510275072],@thatsnomoon @aleuyzulqornaen @suzukabunny @narasinewsroom belum ada hasil riset bahwa vaksin covid bisa mencegah p… https://t.co/3olcft1g0i
[1392195503253716994],@oreochipsmores agenda yahudi kan bak kata orang-orang yg takut vaksin. 🤭
[1392187369248354304],@wreckitfun @esatamtama di berita lagi rame yg meninggal 24 jam setelah suntik vaksin astrazen ya? pusing banget in… https://t.co/bvi2v9qmpa
[1392186582145269762],"sudah banyak yg terima vaksin tahap ke 2 termasuk saya, tapi video ⤵️ termasuk hoax dan meresahkan warga.
cc.… https://t.co/nhv39jzxfb"
[1392186535437475840],"@martavakvanzos @kemenkesri @satgascovid19id @airlangga_hrt ya harusnya tugas negara menjamin vaksin utk rakyat,"
[1392186434669277184],"@spongebobcatz @kawaiiorganism modern world technology:

5g;                               vaksin siap dlm 1thn;
wu… https://t.co/wixlsb8h1d"
[1392186144230494211],@yanzulfian9 @mysubuh vaksin corona asal china itu sangat berbahaya untuk kesehatan manusia bisa menyebab kan kemat… https://t.co/ako5rf0clx
[1392186087955599361],@agoesaguss we.... yg belum menunggu divaksin covid 19. gimana belum rata di propinsi banten
