id,tweet
[1395529604660490241],"@ggkuteng mana slogannya ""ayo vaksin!"" ngajak doang, ngasih kagak"
[1395529555230687232],@splandemic makanya ga heran ada dokter penganut azab bg bilang negara maju dinilai dr melimpahnya vaksin 😂
[1395529524733902849],"varian baru ni detect lepas beberapa hari je terus meninggal. kadar kematian makin meningkat.

seeloknya yang dah vaksin je boleh kerja."
[1395529521634242560],semoga hari ini dapat giliran vaksin. 🙏
[1395529415631642624],"@ferdinandhaean3 @kratonjogja @ganjarpranowo kemarin ikut memperingati bang, tepat setelah vaksin
indonesia bersatu… https://t.co/2ina6l6lgi"
[1395529387181699074],@xxxbyefelicia kak jah okay ker lepas dah beberapa hari cucuk vaksin?
[1395529233523302400],"@501awani dah vaksin lembab...double standard....berubah ubah..
ada yg bolij ada yang tidak...tau tuding jari pada rakyat."
[1395528978388054018],pagi ni bawak abah pergi cucuk vaksin. semoga semuanya baik-baik sahaja
[1395528917075730438],aneh bgt belum dapet vaksin disuruh masuk sekolah offline. gimana ceritanya??????
[1395528678885314562],"ada la sekor penjilat khairy kata semalam kalau ada bukti komisyen pembelian vaksin, sila dedah.

harga rahsia, sem… https://t.co/riv3ehkvnl"
[1395528662921842688],bio farma sebut vaksin yang digunakan indonesia saat ini belum penuhi syarat perjalanan haji dan umrah… https://t.co/impdw4qsxo
[1395528542595686403],cara tau u bisa vaksin tuh dimana sih? info paling update dimana??????
[1395528457182875653],@brsxhka obat apa ci? dapet dr tenpat vaksin apa bli ndiri??
[1395526154413436935],"dah habis layman term dah tu :

vaksin lembab! https://t.co/qfy3gpxuuc"
[1395526099581341698],"bgtau je kt depa yg xnak amik vaksin tu. kandungan vaksin tu cengkih, lemon dan air je. mesti depa mau"
[1395525909596172288],"ingat dah vaksin boleh ke sana sini. tak ada, ke lubok je lah weh. lols. https://t.co/egh30hnxah"
[1395525908983803905],"jadi kemarin tuh suntik vaksin dapetnya sinovac, sebelum vaksin rada jiper gegara anak anak dan mama cerita tuh mer… https://t.co/wsiirqtffl"
[1395525698647822336],@annuarmusa kerajaan mmg la kena fikir solusi. menteri gaji brp puluh ribu sebulan?ada masalah peroleh vaksin lebih… https://t.co/xba7l4lbrl
[1395525283977916418],"@cincioy_ oalaaaa cok, lewat di tl :"") please kantor gue juga, blan 6 serentak vaksin. keknya pake astra soalnya si… https://t.co/rhiqu1zqd6"
[1395525244643807233],"@abent_bani belomm,normal soalnya pendeta aku habis di vaksin juga ngalamin demam,pilek,pusing"
[1395525103375380480],"nama penyakitnya rhinotracheitis, mba. penyakit ini masuk dalam vaksin utama bareng panleu &amp; calici.

disebabkan ol… https://t.co/pehw3uto8r"
[1395524941584371713],@khairykj tolong siasat bangla dpt vaksin
