id,tweet
[1364000369165017092],negara kaya agar ikut melakukan kampanye bahwa vaksin bukan untuk mereka saja  https://t.co/dlstwogx0b
[1364000358314373120],@astriferdiana @iaridlo wkwkwk kalo tau emosyi jiwa pokoke mbak. gedek banget aku denger dia jelasin vaksin mandiri😶
[1364000328971026438],"dgn adanya passport vaksin pengesanan &amp; pengurusan lebih mudah krn sdh direkod.

mengapa byk sgt pertikaian bila pe… https://t.co/dsbsi1cua6"
[1364000180551307264],@wifeysingerboo1 @kawalcovid19 bisa spill rs apakah itu dan vaksin apa yang digunakan?
[1364000026666496001],"bersama sukseskan program vaksinasi dari pemerintah, dan tetap patuhi protokol kesehatan pencegahan covid-19.… https://t.co/eoyribrurb"
[1363999913097318400],"siap divaksinasi saat vaksin siap

https://t.co/jpp2nx1cg0 https://t.co/vlhyaaxnhs"
[1363999672369442817],"pilkada 2020: vaksin imunitas bagi oligarki | 

narasi tanding menghadapi pilkada oligarkis 2020
pemilihan kepala d… https://t.co/vme7fzxklk"
[1363999566224236544],ijin komndan....live repot pengawalan vaksin tahap ii https://t.co/jo30a3adnq
[1363999533395374081],"terima 10.000 dosis vaksin covid tahap ii, ini prioritasnya https://t.co/4kgwoxys1d"
[1363999530887254021],"jatah vaksin datang lagi nih @infokwb #vaksin 
https://t.co/r8gkwdojst"
[1363999529717010434],"setelah 2x ganti antrian karna di php petugas, akhirnya nunjukin surat dari puskes, ngasitau kalo mau vaksin, baru dikasi masuk langsung 🙄"
[1363999520732889094],"duterte restui sinovac, 600.000 dosis vaksin bakal disumbangkan china https://t.co/bkp90a1eaw"
[1363999509601079300],"vaksin nusantara (2) | 

sebenarnya vaksin nusantara ini tidak bisa dibandingkan dengan vaksin yang sudah ada. ”tek… https://t.co/0dkid73fur"
[1363999501443231756],"vaksin nusantara (3) | 

ada nama prof dr hans keirstead phd di balik vaksin nusantara ini.
nama itu diakui sebagai… https://t.co/xksazkiviz"
[1363999475736322049],1. vaksin 2. kalau sakit terok baru pi hospital 3. suka tengok dan depends on pencerita. ada dalil dan hadis. perca… https://t.co/af3qcr3xty
[1363994560016211968],anggota kongres as positif covid-19 meski sudah menerima suntikan kedua vaksin pfizer -kompas tv –… https://t.co/we9wu0n4ed
[1363994524561760258],"@shasharyzal kirain cuman di indonesia ada hoax vaksin punya micro chip, sampai akun kementerian harus posting klarifikasi"
[1363994442428944394],@enjarenji tb tb dapet jadwal hari ini vaksin jeng 👻 kudu manut karo manut wkwkw
[1363994412154425345],fix gak turu mariki vaksin pisan 😭
[1363994331808374786],ijin komndan....live repot pengawalan vaksin tahap ii https://t.co/gc2kmvuzif
[1363994329883185154],malas da nak hadap org yg ada isu dgn vaksin ni..walhal dulu2 elok je tanpa ada golongan anti-vaksin ni.. https://t.co/dx56xppsfq
[1363994154330591235],trs gunanya di vaksin buat apa? https://t.co/7zpmiouzho
[1363994123363971074],"filipina tak rekomendasikan vaksin sinovac untuk nakes, ri disebut-sebut
https://t.co/1xhom47kac"
[1363994099875946502],@cendol_ambyar @jokowi sudah di vaksin jadi tidak usah pake masker
[1363994013053845508],sejak bila ada virus haram ni. kira kalau sapa kena penyakit (yg dah ada vaksin utknya) ni bergelumang dengan benda… https://t.co/5cmzopmzvk
[1363993965121314819],ada kawan yg tak percaya vaksin ni buat aku mcm nk putus kawan je haha
[1363993538120220674],"vaksin covid-19 - perdana menteri akan disuntik rabu ini 

program imunisasi #covid19 kebangsaan diawalkan ke rabu… https://t.co/eg1cs2ymef"
[1363987528424976387],jalur gaza memulai vaksinasi covid-19 https://t.co/bzdaeu3l6w
[1363987156880949251],"vaksin nusantara disambut nyinyir, dr tifa: tidak semua hal anda tahu, mentang-mentang anda doktor

akademisi dan p… https://t.co/19m7hlm6tj"
[1363987083266719748],pendidik termasuk dalam kategori penerima vaksin tahap kedua https://t.co/plyim5kpyz
[1363986973359108097],"@azalinaothmans parlimen krna bersidang, covid pun dah makin turun, vaksin pun abah dah bagi, kenapa sampai lapan b… https://t.co/ng70tzontx"
[1363986963896832003],vaksin covid-19 banyak orang sik cayak tapi tunjuk jari dekat pelangi tangan boleh putus laju jak cayak
[1363986936298434562],lansia perlu konsultasi dengan tenaga medis sebelum terima vaksin #covid19 . #beritaterkini #covidー19 #indonesia https://t.co/p7r5qpx4lt
[1363986878408519680],"ayo daftarkan lansia 60 tahun ke atas untuk mendapatkan vaksinasi covid - 19 
#vaksinuntukrakyatindonesia https://t.co/zvdmxgkauq"
[1363986833055490051],skotlandia: vaksin tekan risiko rawat inap pasien covid-19 - https://t.co/rrkjuwllai https://t.co/cpvtmoznxm
[1363986682849148941],"filipina menyetujui penggunaan darurat untuk vaksin corona buatan sinovac biotech dari china, namun tidak merekomen… https://t.co/xlcndnkp0u"
[1363986628633530370],imunitas populasi adalah goals vaksinasi masal yg secepat-cepatnya dg prioritasi penduduk rawan. kemitraan strategi… https://t.co/ikrgoxjtqc
[1363986310180954120],berikut kumparan merangkum terkait kabar penanganan pandemi corona dan vaksinasi dari berbagai penjuru dunia pada s… https://t.co/hl3cs0pxx6
[1363986121605013507],"@uki23 jangan diambil, keluarga temannya akan mendapat alasan utk tdk ikut vaksin."
[1363985788694720513],"please help support vaksin untuk kita, add a #twibbon now! https://t.co/upl1fmutmw"
[1363979501147852800],vaksinasi covid-19 pada lansia diyakini menurunkan angka kematian #lengkapcepatberitanya #beritaterkini #berita… https://t.co/vjadj8bhte
[1363979452032581634],@null vaksinasi covid-19 pada lansia diyakini menurunkan angka kematian hal tersebut d  https://t.co/wjvlprnrei
[1363979213867393025],pemprov kalimantan timur siap vaksinasi covid-19 untuk lansia https://t.co/hvyeolpj2c
[1363979184700276746],kemenkes menyebut saat ini belum ada laporan kipi yang serius dari vaksinasi covid-19. kipi dikaitkan dengan vaksin… https://t.co/x3jphd1jqw
[1363978712614543362],"@detikcom mau ngasih analogi. kayak vaksin cacar buat bayi, apa mungkin sama sekali kebal cacar seumur hidup? kan e… https://t.co/yf7cc3j68z"
[1363978636882108416],"* survei lsi: 42,2 persen masyarakat tak percaya keampuhan vaksin covid-19 https://t.co/sgrxcmcpuy https://t.co/dmhgltaaoj"
[1363978612093816834],vaksinasi covid-19 personel polda jawa tengah https://t.co/oo4gzaq3lg
[1363978557752418306],lansia-diimbau-segera-daftar-vaksinasi-covid-19-di-link-bandungkemkesgoid https://t.co/kzdrb6fi3n
[1363978138405928960],baru tahu vaksin dalam bahasa melayu pelalian https://t.co/i7g6pxqyxr
[1363977481468878850],"@mazingrahmat habis waktu ngelayanin kopidiot. toh jumlah vaksin terbatas. mereka gk mau,  kasih yang lain aja"
[1363976762128879620],"semakin cepat vaksinasi semakin cepat ekonomi tumbuh. ekonomi brazil diharapkan tumbuh 5,5% - kalau pd agustus nant… https://t.co/qymm4zkqkf"
[1363964158606118912],@fxrdraptor @dghisham bagus juga wujud orang macam kau. takde la aku kena tunggu queue lama nak dapat vaksin.
[1363963669646778368],"@detikcom kalo dah kena covid aja, nangis"" minta obat
giliran ada vaksin pada gak mau
gmn sih ?? 
pemerintah udah k… https://t.co/7wsazevicg"
[1363963541808508931],"sudah divaksin 2 kali, wabup nganjuk marhaen djumadi positif covid-19 https://t.co/6aryzyeqou"
[1363963341044133890],"[video] vaksin covid-19 | 4,670 petugas kesihatan atm diberi keutamaan https://t.co/5qx1kilbv7 https://t.co/b3emaidaqm"
[1363962563495682048],penolakan vaksin muncul mulai dari rakyat biasa hingga wakil rakyat di senayan. para tenaga medis pun banyak yang t… https://t.co/omer5haay3
[1363962536966590466],kabupaten sragen vaksin paling awal se-eks karesidenan surakarta https://t.co/iofjiyn0kt via tribunjateng
[1363962533065854978],"vaksinasi covid-19 tenaga pendidik kendal ditunda, pemkab fokus pembelajaran daring https://t.co/90l1lvchwl via tribunjateng"
[1363962528330485760],"hari ini, 61 wartawan bertugas di solo terima vaksin dosis pertama https://t.co/l7kviwb9q3 via tribunjateng"
[1363960686733221889],@uki23 bisa egk sih yang menolak vaksin dilarang kluar rumah?
[1363959246891712518],angka kematian nakes di jateng menurun berkat vaksinasi covid-19. https://t.co/5c3880rgcl https://t.co/yohj22ovxf
[1363959157338951680],@kompascom pak gub jgn cuma dipasar to tuk vaksin nya dirusunawa karangroto baru genuk smg skali kali pak gub ksna.
[1363959033464504321],"@katzen_jammer @wedhus999 lah ... divaksin juga masih harus 3m
divaksin juga hrs jalani karantina kalo masuk ke sua… https://t.co/y4rzeprbuw"
[1363958858750730240],"@zul_hxlmi vaksin tak percaya, makan betik boleh jadi kuat percaya pulak?"
[1363958590395084801],lansia dengan komorbid diminta periksa kesehatan sebelum vaksinasi covid-19 https://t.co/egjg6sbqya
[1363958445225873410],vaksin orang politik dulu..
[1363958378007916544],vaksinasi covid-19 turunkan admisi rs hingga 94 persen https://t.co/uuk0jyiiwv https://t.co/ubxkkv8ixt
[1363940259491246080],kalimantan timur siap vaksinasi covid-19 untuk lansia https://t.co/q2bng2jzgj #temponasional
[1363940165832613889],#news: positif covid-19 usai divaksinasi? begini penjelasan komnas kipi dan kemenkes ri https://t.co/kdz44dclmj | kabar tangsel
[1363939357363556353],"pilkada 2020: vaksin imunitas bagi oligarki | 

narasi tanding menghadapi pilkada oligarkis 2020
pemilihan kepala d… https://t.co/ctw8mrmczk"
[1363939199473213441],"vaksin nusantara (2) | 

sebenarnya vaksin nusantara ini tidak bisa dibandingkan dengan vaksin yang sudah ada. ”tek… https://t.co/l3axnz2opq"
[1363939190040268803],"vaksin nusantara (3) | 

ada nama prof dr hans keirstead phd di balik vaksin nusantara ini.
nama itu diakui sebagai… https://t.co/ve1g1utped"
[1363938453621145601],asn dan pjlp diharapkan jadi prioritas penerima vaksin covid-19 https://t.co/foeervzhjn
[1363937692531138565],"fix bikin jaket kulit begini ah, sapa tau ada demo nolak vaksin jg di endonesah. https://t.co/2pcutywg7g"
[1363937460523200512],dilahirkan dalam family yang tidak menolak vaksin juga adalah satu nikmat yang perlu disyukuri. alhamdulillah.
[1363937050588684289],@azzamizzulhaq ya gpp banget lah.... gimana si.... vaksin mau di pake semua jg gpp.... busyet dah soal corona.... g… https://t.co/3auntw3qpm
[1363936719721046016],positif covid-19 usai divaksinasi? begini penjelasan komnas kipi dan kemenkes ri https://t.co/t1dqgrwekn
[1363936710749487106],positif covid-19 usai divaksinasi? begini penjelasan komnas kipi dan kemenkes ri https://t.co/t1dqgredsp via @kabar_tangsel
[1363936034883469321],bio farma distribusikan lagi vaksin ke 6 provinsi untuk pelayanan publik nakes dan lansia https://t.co/ml9gzly6hd
[1363935746655023104],cara tangkal hoaks vaksinasi covid-19 ala siberkreasi https://t.co/2n3wgc9ibi
[1363934430696411136],kalau kuatkan iman sikit benda vaksin ni jd mudah je. nak mati ke cacat ke hidup ke semua tu allah yang tentukan. b… https://t.co/nj8hkritis
