id,tweet
[1343342913594396672],"suasana vaksinasi covid-19 di mancanegara, dari israel hingga italia https://t.co/9k6zyzwwip #tempofoto"
[1343342907927920640],"sandiaga: menurut pak luhut, 120 juta dosis vaksin covid-19 hadir pada kuartal i 2021  https://t.co/9cipjmsc6p"
[1343342665677455360],vaksin astrazeneca diklaim efektif terhadap varian baru covid-19 https://t.co/rojea6zddu
[1343342283370889216],"kalau tak tipu kenapa harga vaksin, rahsia! nama sykt kartel daging, rahsia!"
[1343338406139449344],@e100ss vaksin o dewe. aku wegaah
[1343338371523854336],"vaksin sinovac asal china efektif 91,25% lawan corona
obl peluang entrepreneur muda
#investordukungpengusahamuda https://t.co/od1j7sqhos"
[1343338370710253574],"vaksin sinovac asal negara china efektif 91,25 persen untuk melawan covid -19. mantap 👍
obl peluang entrepreneur mu… https://t.co/2vh9gq0ixa"
[1343333157093851142],pemerintah mengeluarkan kebiajakan bahwa vaksin covid-19 gratis untuk seluruh warga indonesia https://t.co/o0pivulkkd
[1343332950364995584],"emng benar orang gila ustd.
yg korupsi
yg jual narkoba
yg jual vaksin palsu
yg bikin bilang nkri togut
yg bilang pe… https://t.co/lviwrwiaqz"
[1343332266055897088],"@biofarmaid udah netepin harga vaksin #covidー19 sinovac 200rb rupiah per dosis. 
rakyat kecil : 👁👄👁
boro-boro mau b… https://t.co/qjty0drr6o"
[1343328573906509824],@alapsambernyawa @khofifahip sayangnya arab saudi ga jualan vaksin adapun uea itupun sdh dipesan sm presiden tp cum… https://t.co/rmadeivczf
[1343328470491779072],"@febridiansyah @fadjroel silahkan bp duluan di vaksin sinovac. kalo berhasil, syukur alhamdulilah. 
kalo gagal. leb… https://t.co/sixhjxkqgv"
[1343327935772520448],ini cara mendapatkan vaksinasi covid-19 | efektivitas vaksin sinovac berbeda di beberapa negara. https://t.co/i3raqagohi
[1343322146349539328],pakar kesehatan singapura dukung vaksin pfizer-biontech https://t.co/3m28vmxfmk
[1343320008395378688],vladimir putin siap disuntik vaksin rusia sputnik v https://t.co/8zws7cw8tb
[1343289807741407232],seharusnya vaksin sinovac dari china dikirim ke turki pada senin ini. #kumparannews https://t.co/yzcathdf6c
[1343272571366621184],pm andrej babis jadi orang pertama disuntik vaksin corona di ceko https://t.co/97qbwgntav
[1343271873883361283],"@vandeeta3 i dont think gov akan buat. dorang just tunggu vaksin. konsep nye pndai2 la korang jg sop, so klu sapa k… https://t.co/dsvsie7eg2"
[1343271815745945600],"@omgiho bilang aja dinosaurus kita sakit, harus di periksa sama vaksin juga :(("
[1343270455067648000],kwangsoo x moses sukebaknya berenti pas vaksin udh diedarin
[1343259105893335041],pm babis orang pertama yang disuntik vaksin covid di ceko https://t.co/s6dwkww5mn
[1343258982761172993],"promosi vaksinasi covid-19 di jerman, pilot muda terbang dan bentuk gambar jarum suntik di langit… https://t.co/thepbvrmzi"
[1343258857770868736],vaksinasi covid-19 telah dimulai di salah satu negara pertama yang lumpuh akibat wabah tersebut #vaksincovid-19 https://t.co/4dudp7chay
[1343258607815544833],"berbeda dengan indonesia dan negara-negara lain, palestina masih harus menunggu untuk dapat vaksin covid-19… https://t.co/krobbwp33g"
[1343251984963399680],"tantangan pandemi :
vaksin sedang fase uji klinis 3, distribusi &amp; nakes disiapkan

tantangan industri pangan &amp; ener… https://t.co/b16kqt47lx"
[1343251885839400961],kalau kita bukan ahli saintis (tak belajar pasal sains) jangan lah kita duk palatao cakap vaksin ni haram lah. suru… https://t.co/3dqihfjsuk
[1343251707770224641],"@collegemenfess vaksin covid sih, penasaran"
[1343251690133151746],opung makelar vaksin😂😂👊🏼 https://t.co/rka2hjhnuj
[1343251651713327104],@yangterdangkal vaksin dulu lu diposyandu prindapan
[1343251537410183169],"@501awani wow, vaksin dah smpi. apakah rakyat #singapore  akan menjadi kebal atau sebaliknya? 1st time… https://t.co/jmvczwer7k"
[1343250864283119618],"@penakewae toleransi adalah vaksin untuk tak tertular paham radikal mereka
itulah kenapa mereka beusaha keras mengh… https://t.co/4ei8minlbz"
[1343245374153228293],epidemiolog ingatkan varian baru covid-19 berpotensi ganggu keberhasilan program vaksinasi https://t.co/w5bss9b3bb
[1343245073870249984],nunggu penjual vaksin pfizer di toped atau shopee. 😴
[1343239925634723841],"@leonitasaputri masyarakatnya yg sulit diatur,n vaksin untuk diedarkan di persulit ( ada lembaga lain yg ingin ikut… https://t.co/odzc1nexl8"
[1343235187161718785],"vaksinasi covid-19 dimulai di italia, diawali di roma https://t.co/cvukmnykjd"
[1343235159898742785],presiden brasil: vaksin covid-19 ubah orang jadi buaya https://t.co/nb3phm5gd4
[1343231022364692480],pemvaksinan covid-19: singapura mulakan dengan pekerja kesihatan di ncid pada 30 dis | astro awani https://t.co/btqwx2l3xo
[1343230992467730432],"@febridiansyah ini masih masala klir dan vaksin yaa, da? hahaha"
[1343230686103105537],indonesia butuh vaksin covid https://t.co/fg2kkxl6bn
[1343230527050924032],@theborneoghost @jalalmisai_2 @pinarello_uk @khairykj gaji sebulan dia. apadahalll. harga vaksin je xnak disclosed
[1343227380307906561],"waaa.. seneng banget denger kabar baik gini

alhamdulillah! vaksin covid-19 asal china ternyata manjur https://t.co/whaoucrqzi"
[1343227294580523009],@mynewshub sampah..test vaksin covid kt dia ni dulu la
[1343226643981115392],rusia pada awal desember meluncurkan program vaksinasi sukarela dengan vaksin sputnik v buatan negara itu dan putin… https://t.co/aqx981z9m7
[1343219516960993281],"@ferdiriva iya hampir seluruh negara surge, dok. korea, jerman, uk dll. entah euforia vaksin atau gimana"
[1343219442352713729],"pemerintahan jokowi melalui kemenkes, optimalkan kesiapan logistik vaksin covid-19 https://t.co/m1vehfah9k"
[1343216622987689984],"sandiaga uno: kata luhut, 120 juta dosis vaksin covid-19 hadir kuartal i 2021

ooh, kata luhut? ente rangkap jadi j… https://t.co/cqrjbwiasd"
[1343216365935607808],masyarakat diimbau disiplin jalankan protokol kesehatan meski sudah ada vaksin → https://t.co/0oqrsefgjb
[1343213926402539520],"@receheverywhere kalo bener yah ngeri sih, kebayang gak disuntik vaksin ternyata suntikan vaksinnya itu vaksin tita… https://t.co/xm6yjuphph"
[1343213873998954496],"yang mengejutkan adalah setelah dianalisis, efektivitas vaksin justru lebih tinggi di grup yg mendapat dosis awal r… https://t.co/rcr8vjy6uk"
[1343213847818035202],"kembali pada masalah analitik dengan kontraktor tadi, berdasarkan jenis vaksin ini kita bisa menggunakan 2 cara unt… https://t.co/kicyik5enq"
[1343213842768130048],vaksin ini memakai adenovirus simpanse yg dimodifikasi yg mampu masuk ke dalam sel manusia dan menginjeksikan dna p… https://t.co/uvzgesuitc
[1343213839764971520],vaksin astrazeneca berbasis aav (adeno-associated virus) yg memanfaatkan adenovirus yg berisi dna pengkode spike protein sars-cov2
[1343213834211794944],"vaksin diberikan dalam dua dosis dengan rentang 4 minggu. anehnya selama trial berjalan, sekelompok partisipan memb… https://t.co/rwxl7mfgjh"
[1343213614920974337],"kalau pfizer dah bagi tahu formula nak buat vaksin ,takkan la mana-mana negara tak buleh copy dan buat sama .itulah… https://t.co/5c1i49rm8t"
[1343213592179474433],"@andorrakin jadi si oxford ini cuma pake satu teknik karakterisasi aja ya buat nentuin ""kadar vaksin"" per dosis?"
[1343211162930802688],pemerintah memastikan kesiapan distribusi vaksin covid-19. koordinasi antara pemerintah pusat dan pemerintah daerah… https://t.co/503dacpgcn
[1343208523165958144],"vaksin covid gratis untuk rakyat ri
#presidenri #jokowi
#adaptasikebiasaanbaru #indonesia #protokolkesehatan… https://t.co/9w6tuulhfu"
[1343208403225640961],"@vembul19 @yurriap tenang bo, yui wes di vaksin"
[1343208351467851776],@jiwnaan boleh silahkan gemoi niichan suntik vaksin juga boleh biar dia menjadi titan ' ^ ')/
[1343208224523046912],@hellofrom127 aku juga pengen kok keadaan jadi normal dapet uang jajan lagi tapi vaksin buat yg masi sekolah tuh be… https://t.co/683fkwkj0b
[1343205823477006336],"kenali kandungan vaksin 

#komunikasikita
#vaksincovid19 
#jabatanpenerangan https://t.co/oas83uhsnz https://t.co/mupbnog0fb"
[1343205822755532802],"@nurburuuj vaksin tak kunjung available, open bo malah yang available"
[1343205401995579394],pemerintah optimalkan kesiapan logistik vaksin covid-19 https://t.co/vnpgzwer4n
[1343203240016371718],"jika sudah divaksin covid-19, masih perlukah terapkan 3m? https://t.co/zia9fnbsqt #beritajogja #jogja #jogjaistimewa https://t.co/yhdhcoaomo"
[1343203147099955200],@anakodok2009 @muhammadsyakur2 @bnpb_indonesia betul.. semoga vaksin segera dapat dilaksanakan..
[1343203107409338369],"efikasi vaksin &amp; varian baru covid-19! apa ngaruhnya?

kami bahas bersama ph.d candidate in medical science kobe un… https://t.co/vpyymtnbul"
[1343200965202079746],"vaksin covid-19 untuk jatim datang awal januari, gubernur khofifah : saya siap jadi yang pertama disuntik… https://t.co/gd9cjxulqv"
[1343200752475361280],"akhir tahun 2020 yg indah. 
1. kabar vaksin
2. ac milan masih di puncak
3. one piece 1000 episode
4. luffy ngehajar kaido 

#onepiece1000"
[1343200747861655552],"gua baru dapet informasi dari temen gua, ternyata vaksin corona itu bisa buat mandul bahkan bisa menghilangkan kete… https://t.co/bjcbh3fimn"
[1343198581663023104],bodoh na anti vaksin semua mok propaganda
[1343198574041911297],"kemungkinan kelompok tenaga kesehatan, tni, polri, dan satgas covid-19 menyusul disuntik vaksin setelah wali kota d… https://t.co/hkf9ul1xws"
[1343198522032541696],@incitu alat rapid antigen blum abis trus vaksin blum ke jual yg itu ntaran dulu
[1343198485424697353],@unaninaelegante iya bener temenku kmrn bilang segitu juga dan itu harus 3-4 kali vaksin wkwkw lucu harganya😭
[1343198471399084032],alhamdulillah perancis mulai vaksin. tapi kayaknya rencana makan di angkringan jogja taun depan bakal tetap gak jad… https://t.co/t0dyvgjkwm
[1343196091869667334],"@unaninaelegante sumpah, mahal di vaksin😭"
[1343195972856238081],@msapunya @zakira_kiro gimana klo duitnya udh disetorin bwt beli vaksin sinovac hayooooo... 😂😂😂😂
[1343193988447096833],"banyak lagi perkara lain yang lagi penting untuk diambil tahu.. isu daging, covid, vaksin. tu anak saya si firdaus… https://t.co/jvtsl5hrug"
[1343193918763118593],"menkeu, sri mulyani indrawati : vaksin gratis bantu ekonomi indonesia kembali pulih #aibdinetflix #ekonomipastipulih https://t.co/6dduuueygx"
[1343193645847998465],pemerintah swiss akui salah dan blunder tangani corona di awal pandemi #vaksin #swiss #vaksinasi #rawatinap #wabah… https://t.co/nuiisoxzsj
[1343191653817831425],sanksi penolak vaksin dimaksudkan untuk berikan kepatuhan masyarakat dalam mengakhiri pandemi #aibdinetflix… https://t.co/vjfgdv6esm
[1343191378084294656],"berita aneh mulai muncul sejak berita tentang ditemukannya vaksin covid-19,salah satu berita aneh yang muncul adala… https://t.co/fj6xo0finw"
[1343191193300119555],"@widassatyo ga sabar nunggu vaksin nih org2, kalo gini namanya berbagi imun alami alias hrs terpapar dlu"
[1343191192318607360],"🔺1. umumkan kos keseluruhan vaksin. 

pada 22 dis, @khairykj menyatakan bahawa rm2.05 bilion akan dibelanjakan untu… https://t.co/c6bbtpbdjo"
[1343188881286447104],"yuk sobat, untuk itu sambil menunggu vaksin tetap protokol kesehatan jangan sampai kendor ya, semangat semuanya!… https://t.co/9cdrymrzkt"
[1343188836562571265],"@kochengfess maap sender muncul dong, mau tanya. berarti walaupun udah vaksin tapi tetep bisa positif gitu nder?"
[1343188760184274947],"pemerintah pastikan kesiapan logistik vaksin covid-19
#satgascovid19
#ingatpesanibu
#ingatpesanibupakaimasker… https://t.co/vtlscayqnr"
