id,tweet
[1367624648981102596],"vaksin yang dipakai sudah mendapat izin penggunaan darurat dari badan pengawas obat dan makanan (bpom), serta izin… https://t.co/baxrp3d36c"
[1367624648930729986],"vaksin yang dipakai sudah mendapat izin penggunaan darurat dari badan pengawas obat dan makanan (bpom), serta izin… https://t.co/fluy9q3j9z"
[1367624280297459714],"hendak dapat vaksin, anggota polisi ‘soak’ melihat jarum suntik https://t.co/jw2k7b0qlg"
[1367624246613053441],"#icymi #buletinbernama: kkm pantau jualan vaksin tiruan dalam talian
https://t.co/aqo3kkke1v"
[1367624165340057602],waspada penipuan vaksin covid-19 https://t.co/slhrrz07sw
[1367623938520485888],menkes apresiasi halodoc bersama gojek bantu edukasi vaksinasi covid-19 https://t.co/cnwpnu8nsg
[1367618568347656195],baru 6 persen pedagang yang sudah ikut vaksinasi covid-19 https://t.co/3rwxpuqn2o
[1367618565008814083],vaksinasi perdana sudah dilakukan di sebagian besar negara https://t.co/1sfjybflsc
[1367618560864833538],lagi deg2an karena bentar lagi anak mau vaksin. semoga gak demam 😇
[1367618376097558529],"@burstaxon ""frontliner kkm diberi priority untuk dapat vaksin dulu""

banyak lah hg, walaupun most of private hospit… https://t.co/l3fpmrklej"
[1367618285571690498],alahai macam mana boleh percaya boleh beli vaksin online? nak cucuk sendiri ke macam mana? 😕 https://t.co/f0l7nmou6f
[1367618234057433089],@nickyariani embo ikk mari vaksin mendadak weteng krucuk on
[1367618230769090563],"papa yg mau vaksin yg heboh serumah, karna serumah cuman papa yg bisa divaksin"
[1367618123675750401],@danial_risaf @holy_shid wes vaksin ambek serum ganja arek e. mariki lak dadi x-men
[1367618018671390721],"amerika dan eropa fokus untuk vaksinaksi warganya sendiri.

china, berbeda, mereka sibuk produksi untuk disebarkan… https://t.co/mhhit8efqa"
[1367617994696781827],vaksinasi covid-19 untuk lansia perlu perhatian khusus https://t.co/gbbp40xkfn https://t.co/izxgecdm9d
[1367617913612607493],"@lukmansaifuddin sama yai, saya rakyat biasa dan belum dpt jatah vaksin juga. klo ada yg tanya kok belum di vaksin?… https://t.co/zzhmtbsi79"
[1367612078475780101],"yakinkan golongan 'atas pagar' dapatkan vaksin covid-19, gesa pakar kesihatan https://t.co/z9jpfjvio2"
[1367611951363227649],jokowi: lebih dari 2 juta orang sudah vaksinasi covid-19 https://t.co/a8xunkp9jj
[1367611950901854208],"""insya allah juga pada maret, ini akan datang lagi vaksin dari astrazeneca. sebanyak 4,6 juta dosis vaksin jadi,"" k… https://t.co/so9vtj5btc"
[1367611938482446337],"bayikkuu, lahir sebelum mamak dapet jadwal vaksin yuk🥺💙"
[1367611915283787779],"saat kekurangan supply vaksin, harusnya dinamis mencari peluang u/ cover lbh banyak org.

bisa dgn adjust seperti j… https://t.co/wgzdtwqkfc"
[1367611496662933508],"ko mager, efek vaksin gitu ya, apa bawaan dari lahir ini teh"
