id,tweet
[1418360177993027584],efeknya apa sih klo kurg 3 bulan sejak negatif covid tp malah vaksin ? 🤔
[1418360166764793857],"selamat pagi..

di sini.mendung. pagi ini nee chan terima vaksin ke 2. mudah2an lancar tidak ada halangan. 

yosh!… https://t.co/lts4z8nsvf"
[1418360151531081729],"@elsakffadillah samaa, kmaren jga aku vaksin cm bawa ktp asli ud lgsung bisa"
[1418360122191925248],@o5haruto cieee vaksin akwkwkskkakaa
[1418360118081572871],@nias2013 @savemoslem1 apa bener ini pemuka vaksin @trikus2012 .. pemegang nobel lho..
[1418360107239313408],@achunadia memang better link terus dekat ic je senang. tapi kan kad yang kita dapat lepas vaksin tu tak cukup ke?… https://t.co/z6bpdxtqkh
[1418360095948242947],"@tretanmuslim @kemenkesri ga ngerti lagi, warga udah sadar mau vaksin malah dipersulit dgn ciri khas birokrasinya.… https://t.co/ff33yya0jw"
[1418360091523256321],"aku waktu vaksin ga perlu fotocopy ktp. cuma perlu menunjukkan ktp ke petugas, petugas mencatat di lembar keteranga… https://t.co/uwgurwtueh"
[1418360085315682308],semangatin ak buat vaksin dungs:( #
[1418360078701240324],@adyul93 @tretanmuslim @kemenkesri gue vaksin gak pake fotocopy kok
[1418360050821701633],"@a_christyjkt48 udah, mau siap-siap untuk vaksin nanti.
kamu juga semangat dede"
[1418360033641832453],"@lampungbase bisa nder,bawa surat vaksin sama pcr"
[1418359994961911821],"mata lagi bendol eh ternyata ada jadwal vaksin pagi"""
[1418359982857334784],"joe biden sebut covid-19 hanya mengancam orang yang belum divaksin –  https://t.co/4fs5a5saj5, ohio - presiden amer… https://t.co/ztl0i1by4d"
[1418359982580396032],"@mysubuh @lord_hc11 farmasi aja dibuat meringis oleh kebijakan harga obat bpjs, gimana nasib pengasong vaksin, alke… https://t.co/pgkd8fjlbi"
[1418359940469559299],sekolah gue ngadain vaksin sjajsh
[1418359937772638208],@peyotmat @news_benz @djoked2 aq sudah vaksin...😛
[1418359901986779139],semalam bawa ayah pi vaksin. harini bawa ma pulak. semoga kedua orangku sentiasa dilindungi ❤️
[1418359894525186048],"vaksinasi signifikan menekan angka kematian karena covid19
masih ragu juga untuk vaksin?
@kemkominfo 
@platejohnny https://t.co/yi0le3lrr5"
[1418359849386078208],ayo laksanakan vaksinasi tahap 2 mulai hari sabtu tanggal 24 juli 2021 yang dilaksanakan di gerai vaksin polres lam… https://t.co/4tt1iszvcg
