id,tweet
[1335735460660826112],entah kenapa aku ngga mau nyobain vaksin coronce duluan. padahal aku calon apoteker yg gawean nya vaksin2 itu. kaya… https://t.co/pwepmwwwt7
[1335735425885868033],"https://t.co/9eyhc2yhbu

vaksin covid-19 sinovac tiba di indonesia lewat bandara soekarno-hatta. sebanyak 1,2 juta… https://t.co/luvmvuijws"
[1335735365450125313],"@hnurwahid mungkin sekedar utk memenuhi janji bhwa desember sdh ada vaksin, tadz.
soal blm ada rekom, urusan lain! 😪😪😪"
[1335735113447960576],kalo dapet kesempatan bisa divaksin duluan mending langsung vaksin atau nunggu ntar aja?
[1335735079541174273],@tha_mieee betul...vaksin gratis..adalah kunci
[1335735033802366977],"@tanyainrl gamau vaksin, pemerintahan aja duluan, ntar kalo udh jadi titan gua msuk tim pengintai mwah"
[1335735027687026688],@rizdianaaa haha harapan besar kita pada vaksin di 😅
[1335734981948162049],aku kok wedi di vaksin ( soale ra ndue duit)
[1335734970711564290],"vaksin covid-19 (sinovac) sudah tiba di indonesia, semoga pandemi segera berakhir. #covid19 https://t.co/l3faxgisdb"
[1335734944463609856],tetap optimis . tetap 3m walau sudah ada vaksin https://t.co/hxtvvfnefb
[1335734920510021635],"@wakapoldur @dr_koko28 om uji klinis 1 dan 2 udah lewat, ini vaksin dijamin ama. gakan bahaya. masalahnya yg blm ke… https://t.co/xownkapr93"
[1335734905485946881],"pokoknya bapak @jokowi harus orang pertama yg mencoba vaksin sinovac lalu disusul oleh para mentri kabinet, lalu pa… https://t.co/gdic1dykor"
[1335734892055863297],"dengan tibanya vaksin sinovac semalan, inaf &amp; kaef bisa terbang hari ini 🚀 https://t.co/t5yib51kao"
[1335734791166038017],"semangat pagi, semangat nambah muatan. karena isu vaksin saham kesehatan kayak nya menarik😋"
[1335734751567613952],vaksin sdh tiba di indonesia yoook bareng2 taati anjuran pemerintah utk bersama-sama membrantas corona..
[1335734751357890561],@vostokmerah yang diimpor oleh ri vaksin yg mana ?
[1335734695837851651],@hukumdan sy (yg termasuk) menolak vaksin
[1335734694705434626],"vaksin udah sampe di indonesia
alhamdulillah....
mudah-mudahan..
segera ya allah"
[1335734675021520896],"wah, bakalan urus vaksin lagi nih."
[1335731744398401538],"@dkarhita dki udh imun,,,
udh disuntik vaksin anti kpk"
[1335731676131934208],@pdi_perjuangan vaksinasi cara terbaik lepas dari pandemi
[1335731616916750336],kaef saham vaksin akumulasi https://t.co/4hwn0fgczb
[1335731608763035649],@jokowi indonesia perlu memenuhi kebutuhan 11 botol serum vaksin. khawatir distribusi global vaksin produksi negara… https://t.co/gw0kubx7b6
[1335731501795667970],"walaupun vaksin sudah ada, presiden @jokowi ingin kita terus menjalankan prokes 3m. https://t.co/6pve3b7gks"
[1335731482334175234],"siapa yg pertama harus divaksin,,,,agar rakyat percaya bahwa itu vaksin asli dan aman!!!!!!! https://t.co/1pqleyb8ja"
[1335731468140642305],"@kompastv hati2, vaksin c19 bisa membawa kematian. sila baca dan teliti sendiri. juga baca ttng nurenberg code. https://t.co/6lbggmghm4"
[1335731464055316482],@pdi_perjuangan alhamdulillah vaksin sudah datang
[1335731384346836992],"mikir random, suatu saat kita dapat jatah vaksin rutin anti covid, orang-orang golongan si anti virus itu masih ber… https://t.co/wwafz8zsow"
[1335731299005255681],"1,2 juta vaksin covid-19 tiba di indonesia https://t.co/tbrddcetqd"
[1335731276314112002],"ri 1 ada agenda dibiofarma? @rockerspantura 
vaksin kali ya ni @zarazettirazr"
[1335731219225440256],"@lisaamartatara3 vaksin asli sudah datang, bagaimana yang palsu, sudah siap edar?"
[1335731216067174401],@tanyainrl vaksin nya emang udah 100% ampuh?
[1335731210782294016],"infografis tanggal 24 november mengenai negara-negara mana yang po vaksin mana mana aja.
gitu dah. https://t.co/matj8enlr4"
[1335730883186159616],presiden jokowi: kita amat bersyukur vaksin sudah ada https://t.co/5mm1c5ka5a https://t.co/cxymcmm4gq
[1335730879272914945],"vaksin corona sinovac mendarat, skema vaksinasi covid-19 diterbitkan pekan depan https://t.co/vcag0oo6sa"
[1335730764839755777],"1,2 juta dosis vaksin c-19 buatan sinovac sudah tiba di tanah air pada hari minggu, 6 desember 2020. https://t.co/yotlhpb1tn"
[1335730749593460736],"vaksin corona merek sinovac sudah tiba di tanah air melalui bandara soekarno hatta, cengkareng pada minggu malam (6… https://t.co/qlcp2xxwjb"
[1335730711966273536],"""kata mama, kita tidak boleh lanjut ke jenjang lebih serius...""

""hah kenapa.""

""kamu vaksinnya sinovac, keluarga k… https://t.co/bnwxr8unhc"
[1335730693742030849],@dinihrdianti @kangdede78 @gus_raharjo ya hahha berani.d vaksin duluan ga ekek
[1335730666537828354],"vaksin yang dapat diandalkan yg mana? barat pasti jelek2in punya asia biar selalu superior, tapi kualitas barang2 m… https://t.co/gqdvdcvofc"
