id,tweet
[1322318104043556864],"gw kutip keluhan teman peneliti vaksin covid: antara masyarakat, tim kesehatan, tim pengembangan vaksin, lalu polit… https://t.co/q91jwkrek0"
[1322308933168459776],"perjudian jokowi-luhut dan indonesia.

jika fase penanganan pandemi ini gagal, ditambah inden vaksin ratusan triliy… https://t.co/paibhazx4v"
[1322296906312118272],sejauh ini belum ada vaksin corona di seluruh dunia yang mendapatkan izin edar secara luas. namun ada beberapa yang… https://t.co/uzdroqxhui
[1322296358389207040],"pakai prinsip kehati-hatian, bpom siap kawal vaksin covid-19 https://t.co/htizha0vtw https://t.co/gqw6sf4zbp"
[1322296357277761537],"pakai prinsip kehati-hatian, bpom siap kawal vaksin covid-19 https://t.co/xdurstfkp0 https://t.co/dvvyuwpnop"
[1322272786572824576],jakarta – vaksin covid-19 produksi sinovac dinyatakan lulus uji klinis tahap 3. vaksin dinyatakan bisa digunakan da… https://t.co/4rcbojlzf4
[1322252984944746500],"@fadlizon uda, jadi yg 2 dollar itu, harga vaksin covid 19 atau biaya pengiriman nya? mhn pencerahan uda, krn ambo… https://t.co/ijjqhphu1w"
[1322218800306024448],"@areajulid rada g masuk akal relasi vaksin sama dajjal, cuma gw yang overthinking mikirnya ya emang ini awal, tanda… https://t.co/ilng6adj9t"
[1322218080643153921],cepat nya nak 2021 lagi berapa bulan lagi tolong la ada vaksin covid ni
[1322213748052996096],"as diperkirakan tak bisa vaksinasi covid-19 tahun ini, apa sebabnya? https://t.co/ymejjmfsel"
[1322209145995579394],sandiaga uno minta pelaku wisata tak andalkan vaksin covid-19 #temponasional https://t.co/xno7uzutbf
[1322209145060265985],vaksin sinovac yang akan diproduksi bersama bio farma sudah berada pada tahap uji klinik fase 3 di bandung dan tela… https://t.co/ab98zlvfuu
[1322204691179036672],masker ~&gt; vaksin ~&gt; chip. dan kalian masih aja polos? tolol.
[1322194861278208003],@nadzalif aku tgk lepas vaksin corona dah jumpa 🤣
[1322191698458341383],"@dr_koko28 dok mau tanya, akhir2 ini iklan tentang vaksinasi begitu massif di tv. saya tinggal di desa melihat send… https://t.co/ztgxriit2t"
[1322184575770980352],vaksin corona akan ada pada januari akhir
[1322184482493919238],ue sepakati proses distribusi vaksin covid-19 https://t.co/x2w1yg147d https://t.co/9imtvp9myu
[1322180833617145856],"ada page jual buku cakap pasal covid ni propaganda kkm. 

walaupun soalannya berasas, cuma bau anti-vaksin dan pro… https://t.co/1kzfqxatnm"
[1322174969380364289],@deddy_shanks vaksin corona brarti sama si pembuatnya donk 🤣
[1322172670755004416],as punya 50 juta dosis vaksin corona sebelum digunakan https://t.co/flvsvoxpms
[1322172549262954496],tantangan mengembangkan vaksin covid-19 secara global dalam waktu 12 bulan https://t.co/qrojvrxjix https://t.co/o93mdficue
[1322172079492407298],"berdasarkan data world health organization (who) per 19 oktober 2020, ada 44 kandidat vaksin coronavirus disease (c… https://t.co/crootxmet4"
[1322166216186859520],faktor kunci yang membuat pandemi ini berakhir apasi? vaksin atau angka positif sudah 0? aku udh capek kulon ugm_fess
[1322166120367886336],"vaksinasi covid-19, doni monardo: tergantung keputusan terakhir dari bpom https://t.co/jy8gbmjq1e"
[1322163258598387714],logika dan masuk akal. bila vaksin bermanfaat gak usah yg kaya yg miskin aja dah pasti ngejual apa adanya buat tuh… https://t.co/ztwgaqiuwn
[1322160447999541248],"vaksin covid-19 kini sedang dinanti masyarakat dunia, termasuk masyarakat indonesia.

https://t.co/3bcm3lgjme"
[1322155011565068288],ketua mpr pastikan vaksin covid-19 sudah diproduksi massal akhir tahun https://t.co/hve9wc4fih
[1322149384641941505],"vaksinasi covid-19, doni monardo: tergantung keputusan terakhir dari bpom https://t.co/fwqj60snwe"
