id,tweet
[1431404604688789515],@suspiciousdoyie nanti kamu vaksin ke 2 nya tanggal berapa?
[1431404516230893570],anggota koramil 08/piyungan dan anggota bko melaksanakan kegiatan pendampingan kegiatan vaksinasi covid -19 terhada… https://t.co/4ioifzbcut
[1431404487697076224],"@fkadrun @alvafila parah parah, ingat itu tahun 2021. nanti tahun 2022 akan di buka pabrik vaksin 😁. vaksin lagi 🤪"
[1431404486031917058],"@toko_sweesal yah...nunguin ampe abis kopi 3 cangkir ☕☕☕
wkwk...
morning dek☀️🙏
lagi antri vaksin drive thru sama a… https://t.co/dv5kx0pbd4"
[1431404482714234885],@yaudaahhhh @tegalfess mbokan sih kamu wis vaksin wingi te?
[1431404469133004800],@azzahrahaaifa aman kok kak .. 25 jam pasca vaksin ni cuman kerasa bengkak aja di area suntikan ..
[1431404461818216453],"vaksin pfizer ntar jam 7.30.
mudah2an ga salah suntik ketuker ama viagra.."
[1431404453442113543],"subuh-subuh ke sby demi bisa vaksin d2, udah ijin kantor segala, kalo tiba2 gak bisa sumpah aku mewek ndek pojokan… https://t.co/eccrmsru68"
[1431404436631420930],hari ak mau vaksin di sekolah
[1431404422794407940],"@__sridiana_3va abaikan saja dok. lagian, percaya atau tidak percaya covid atau vaksin enggak ada urusan dengan oposisi atau pro pemerintah."
[1431404421917724674],"ngasih obat kutu, obat cacing, vaksin, sama steril. kalo kesehatan dasar aja gak bisa terpenuhi ya jangan pelihara.… https://t.co/92dtzi4nzm"
[1431404413978021888],@__sridiana_3va sama ngga dok vaksin nusantara dengan vaksin merah putih
[1431404385507045379],vaksin ke 3 takut ngedrop lagi pdhl masih harus kerja :(
[1431404384961785859],@tomipurba weee baru tahu aku kalo udah ada vaksin buat orang2 difabel. moga cepat merata
[1431404384588484610],"berarti ku nyiapin mental nya double ya, buat vaksin &amp; nonton tokrev"
[1431404383074357252],@kompascom @elimeidarti  ya alhamdulillah ibu umur 91 thn  sdh sukses vaksin  semoga sehat dan lebih panjang umur ya .aamiin.
[1431404132670140418],"thanks ppkm. sekarang orang berlomba2 pengen vaksin, biar bisa masuk ke mall 😀😀 #moderna #vaksin #ronaldo"
[1431404129776136198],"@atanasia_rian nah ini yang ditunggu, semoga vaksin bisa segera merata🤲🏋🏻"
[1431404122629033984],"beks, kall vaksin yang daftar pake link itu pasti dapet gasi?"
[1431404027305095168],@jenoetc vaksin di sekolah kah?
[1431404004030828548],hai siang ini aku vaksin pfizer. takud disuntiknya:(
[1431403972523278339],"ngurak2 bocah susah bngt nyuruh vaksin.pdhal deket.eeh giliran kantornya nyuruh, baru deh ngider2 cr tmpt vaksin.anak jmn skrng..😡😡"
[1431403962289176576],hari ini aku mau vaksin disekola🚶‍♀🚶‍♀
[1431403885747310592],@ronnie_rusli oooohhhh🤔🤔🤔.... jd kalo sdh vaksin sino fuck 2x hrs booster vaksin diatasnya yaitu astra zaneca atau… https://t.co/ajoiu12zpz
[1431403860174651392],kalau awak tu antivax diam diam je la tak payah la duk sibuk buat ig story cakap vaksin tak bagus la apa la pungkoq hang 😀
[1431403856232009732],"mau review vaksin moderna, efek dari aku sih cuma pegel pegel sama kemeng e raumum pol 😂 tapi,"
[1431403713411706882],salut buat nenek jaonah dgn usia 91 th sudah terima 2x vaksin 👍🏻 https://t.co/3ddav471ka
[1431403712761647106],"@kai121 min nanya dong, untuk syarat naik kai jakarta - jatibarang 9.20 tanggal 5 sep, apa aja yah?
kalo sudah vaksin ga perlu swab lagi?"
[1431400175130464266],"@tunamayorin oalah, semangat kak raii. jangan lupa sarapan biar ga kerasa efek samping vaksin"
