id,tweet
[1307107028683325447],"hallo pak jokowi ...
mulai saat ini anggota mui beserta keluarganya jangan diperbolehkan vaksin apapun termasuk cov… https://t.co/1bbkaotutn"
[1307101967223844873],"mui tolong segera keluarkan fatwa vaksin haram, 
sehingga vaksin ini hanya digunakan untuk non muslim saja.

kalian… https://t.co/phtrc0huwo"
[1307091946666627077],"@adeannie1 @_kingpurwa kita sbg rakyat jangan mudah dibodohi. dia bilang vaksin, padahal uji klinisnya aja belum te… https://t.co/zpprsbbivw"
[1307085766313627652],"cukup kulkas aja yg dikasih label halal, vaksin corona jangan dikasih label halal juga. pentingkan nyawa orang dala… https://t.co/6iqsjyivut"
[1307085630317494272],joe biden tolak klaim trump soal ketersediaan vaksin covid https://t.co/mhw3gdmdq9 https://t.co/y6yhbmgqnm
[1307079207760146437],survei: hampir setengah warga as tolak disuntik vaksin covid-19 https://t.co/0izlwcq1i6
[1307065076696915970],"menko luhut targetkan 100 juta penduduk disuntik vaksin covid-19 pada januari 2021
https://t.co/eciqvsnws8"
[1307051043042328578],"eyang kangkung ini kenarin koar2 mau mundur dari sekjen mui !
lsm ini ribet banget sih.
bilang ragu vaksin cina gak… https://t.co/kyofo8jjm4"
[1307041968837595137],"@elkrova kalaupun vaksin covid'19 tidak halal,, maka khususkan saja untuk no muslim,,

yang muslim tunggu vaksin ya… https://t.co/zeuaqdzfck"
[1307034169533489153],tak semua penduduk indonesia divaksinasi covid-19 https://t.co/ij43t59swq
[1307018184608768001],airlangga : hasil uji klinis vaksin covid-19 diumumkan oktober 2020 https://t.co/malq0fsjo1 https://t.co/qrak3gplo9
[1307004861800574976],@geloraco jadi sales vaksin. negara lain menurun kok penyebaran co-19 nya. karena memang negara lain pemerintahnya… https://t.co/8wx30fu0ub
[1307004680199839744],ribuan orang di cina tejangkit wabah brucellosis akibat kebocoran pabrik #wabah #vaksin #cdc #farmasi #sakitkepala… https://t.co/f2b5gijmzi
[1307001701606420487],survei: hampir setengah warga as tolak disuntik vaksin covid-19 https://t.co/4ks6an4u0u
[1307000648089497600],@ezash sistem dinamik penyebaran penyakit pneumonia dengan adanya pengobatan dan vaksinasi.
[1306998442875432961],"selain itu, lanjut luhut, kelompok yang diutamakan untuk mendapat vaksin covid-19 ialah tenaga kesehatan. https://t.co/1mmoeuyx6r"
[1306997689083592704],@santorinissun heran.... saya koq senang ya dgn hal ini. yg mrasa tidak halal tolong jgn dikasih vaksin corona.
[1306995365212692480],"@eko_kuntadhi klo merasa gak halal ya gampang, pengurus mui gak usah vaksin covid-19."
[1306993302579875840],"new scientist terbaru banyak ngebahas soal vaksin covid-19, nggak ada yg baru.. cuman masalah keributan blaming cov… https://t.co/hg6mnfu62z"
[1306988579692793858],"mui ragukan klaim erick thohir soal kehalalan vaksin corona
https://t.co/lwuxdaiiwp"
[1306988499590029312],"uji vaksin covid-19 ini selesai november, bye-bye corona! https://t.co/p8fkstp2m9"
[1306984664276455424],"uea kabulkan permintaan 20 juta dosis vaksin covid-19, ri minta lagi https://t.co/vmhipa9ieu"
[1306975999452569600],"@dw_indonesia @oxfam covid ini emang benar2 ujian kedaulatan..

negara2 maju kalau beneran mau perang soal vaksin t… https://t.co/lpe0aq975d"
[1306974254223646721],"karena sudah bersiap untuk vaksin, cepat new normal, dan seremoni2
 https://t.co/eixclnefjy"
[1306972536060682247],"china harus ganti rugi kita semua, bukannya jualan corona vaksin di indonesia! #corona #madeinchina https://t.co/x5xn1k1l5c"
[1306972330246041601],diplomasi vaksin merupakan prioritas diplomasi untuk menanggulangi pandemi #covid19. saksikan paparan @menlu_ri ret… https://t.co/1fylq76nvh
[1306972165175046146],bulan depan ada pengumuman hasil uji klinis vaksin covid-19 https://t.co/3t3q9br6zj
[1306971122773028865],luhut panjaitan tangani critical time sampai vaksin covid-19 siap https://t.co/qb4d3yc2bo https://t.co/36vouatsjx
[1306970715829141504],"begini saja... yg tak butuh sertifikat halal, langsung maju dlm antrian untuk segera divaksin anti covid19. yg butu… https://t.co/we6d56gbhg"
[1306969187290472448],"@podoradong @kpu_id @mas_abudiman corona nya mungkin sembunyi d dalam kardus mungkin loh ya...bahaya ini,vaksinnya… https://t.co/vmbedoajgi"
