id,tweet
[1362189508209385474],covid-19: hanya 10 negara capai 75 peratus proses vaksinasi – pbb https://t.co/bjdbgqjbar
[1362189389607018497],"yang dok cakap vaksin covid akan control minda ni semua karut. sebab dalam minda tu kosong, tiada apa yang boleh dicontrol pun 😛"
[1362189056201822211],"“vaksin ini aman sehingga seluruh masyarakat di jayawijaya dan juga di lapago umumnya, dalam rangka perlindungan di… https://t.co/je42tgdx8l"
[1362185093129723904],"vaksin itu perlu
tapi mbok ya 
jangan membesar-besarkan jarum suntik https://t.co/0cajnwsknh"
[1362184798127624195],@rgoestama diminta suntik bantu modal pembelian bahan baku vaksin dan biaya produksinya.
[1362184673758040067],pbsi ingin semua atlet pelatnas divaksin covid-19 https://t.co/6wihigng4t
[1362178180577067008],"ma'ruf amin: hukum vaksinasi corona fardu kifayah, berdosa jika tak laksanakan #vaksin #vaksinasi #tenagakesehatan… https://t.co/fkiihpzzpd"
[1362178163531337730],gaza menerima pengiriman pertama vaksin covid-19 pada rabu (17/2) setelah israel menyetujui transfer melalui perbat… https://t.co/linrxta8o5
[1362178133223305218],"menteri vaksin cakap. 
nanti menteri dalam negeri, bila tak sibuk memikir cara nak kuatkan kedudukan politik parti… https://t.co/a2qs0c4ejq"
[1362178111433924608],"#icymi [infografik] strategi pemberian vaksin #covid-19

[infographics] strategies to administer #covid-19 vaccines… https://t.co/eabdjpgodv"
[1362177894932307968],palestina kutuk israel lakukan penghadangan pengiriman vaksin untuk gaza https://t.co/ja1po4mpwg
[1362177855581351939],@meorechie hahahahahaha amboihhhh mcm tak sabar nak kena cucuk vaksin ja meore bosku
[1362177827735433219],"@tvonenews takut ya....aku ya takut sebetulnya...setelah saya pikir pikir lama, vaksin saja. kenapa tidak.....dp didenda dll"
[1362177326318907392],"terima suntikan kedua vaksin sinovac, bupati nunukan hanya merasa pegal-pegal https://t.co/15iql8on4r 
@pemkabnunukan"
[1362173994049310720],oh ya guru2 juga penting vaksin . supaya bisa skolah tatap muka lagi
[1362173964496211969],vaksinasi covid perlu diprioritaskan pada pekerja pariwisata. #semangatpulihkannkri https://t.co/pbv82w6lhu
[1362173929708609541],terawan buka suara soal uji klinis fase i vaksin nusantara https://t.co/yjfzugvcdd
[1362173900910518273],indonesia lewat pt. bio farma sudah mendatangkan vaksin produksi dari pt. sinovac life science #semangatpulihkannkri https://t.co/k3ohx6otlu
[1362173477755752455],"setelah nakes, kini giliran petugas layanan publik yang jadi prioritas vaksin covid-19. pada tahap kedua ini, guru… https://t.co/f6q92egktn"
[1362173198540804097],"my brother literally said that the vaksin ada dna haiwan dalam tu. aku tak pastu sangat, tapinya aku ada nampak dr… https://t.co/jgha7zhpgc"
[1362173158128713735],dapet kesempatan vaksin https://t.co/hmdtqrizpo
[1362172571735658497],"@kompastv ah yg bener, apa krn vaksin sdh di beli supaya hsl kerjanya di katakan berhasil,,atau mmg ada kasus tp td… https://t.co/kmvxuottoh"
[1362172554270572544],"blg ga layak ga layak, barusan gw dpt id vaksin sialan😭😭"
[1362172422691033088],jadwal vaksin tahap 2 ku https://t.co/2ewyzzuigf
[1362172409076310017],"pilkada 2020: vaksin imunitas bagi oligarki | 

narasi tanding menghadapi pilkada oligarkis 2020
pemilihan kepala d… https://t.co/f6zbigirlu"
[1362162087695241216],@rawatindonesia @hiboorans masih ada yg idup ngerasain 2 vaksin itu gak ya?
[1362161832685756420],hari ini jadwal vaksin kedua https://t.co/nhdouxqqju
[1362161766348722178],"@kulingkingg wah efek vaksin

eh kan belum vaksin lagi🤔"
[1362161597318242304],"dianggarkan sehingga 35,000 janji temu untuk mendapatkan suntikan vaksin tidak dapat dilakukan.

#awaninews… https://t.co/8gohavvl2v"
[1362160786894856192],indef menuturkan perusahaan tidak boleh membebankan biaya ke pegawainya dalam vaksin covid-19 secara mandiri.… https://t.co/r3rqbhycjg
